DoriC AC	RefSeq	Organsim	Taxonomy	Genome Length	oriC location	dnaA box number	dnaA location	The extremes of GC disparity
ORI10010014	NC_002737.1	Streptococcus pyogenes M1 GAS	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1852441 nt	1588..1741 nt	3	232..1587 nt	2823 nt (minimum), 978860 nt (maximum)
ORI10010015	NC_002737.1	Streptococcus pyogenes M1 GAS	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1852441 nt	1852441..231 nt	7	232..1587 nt	2823 nt (minimum), 978860 nt (maximum)
ORI10010016	NC_002745.1	Staphylococcus aureus subsp. aureus N315	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2814816 nt	1879..2155 nt	4	517..1878 nt	270 nt (minimum), 1407785 nt (maximum)
ORI10010017	NC_002745.1	Staphylococcus aureus subsp. aureus N315	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2814816 nt	2814603..516 nt	9	517..1878 nt	270 nt (minimum), 1407785 nt (maximum)
ORI10010018	NC_002758.1	Staphylococcus aureus subsp. aureus Mu50	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2878529 nt	1879..2155 nt	4	517..1878 nt	270 nt (minimum), 1484114 nt (maximum)
ORI10010019	NC_002758.1	Staphylococcus aureus subsp. aureus Mu50	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2878529 nt	2878316..516 nt	9	517..1878 nt	270 nt (minimum), 1484114 nt (maximum)
ORI10010020	NC_002771.1	Mycoplasma pulmonis UAB CTIP	Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	963879 nt	1..221 nt	3	222..1607 nt	963862 nt (minimum), 465406 nt (maximum)
ORI10010021	NC_002932.1	Chlorobium tepidum TLS	Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobaculum.	2154946 nt	1127..1397 nt	3	1398..2879 nt	2154845 nt (minimum), 1025871 nt (maximum)
ORI10010022	NC_002932.1	Chlorobium tepidum TLS	Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobaculum.	2154946 nt	2880..3284 nt	3	1398..2879 nt	2154845 nt (minimum), 1025871 nt (maximum)
ORI10010023	NC_002936.1	Dehalococcoides ethenogenes 195	Bacteria, Chloroflexi, Dehalococcoidetes, Dehalococcoides.	1469720 nt	1599..1923 nt	5	261..1598 nt	1737 nt (minimum), 752702 nt (maximum)
ORI10010024	NC_002942.1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella.	3397754 nt	3397647..653 nt	4	654..2012 nt	223 nt (minimum), 1689267 nt (maximum)
ORI10010025	NC_002935.1	Corynebacterium diphtheriae NCTC 13129	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	2488635 nt	1678..2285 nt	4	19..1677 nt	2472075 nt (minimum), 1248032 nt (maximum)
ORI10010026	NC_002935.1	Corynebacterium diphtheriae NCTC 13129	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	2488635 nt	2487712..18 nt	7	19..1677 nt	2472075 nt (minimum), 1248032 nt (maximum)
ORI10010027	NC_002939.1	Geobacter sulfurreducens PCA	Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter.	3814139 nt	1368..1593 nt	4	30..1367, 1166019..1166795 nt	7871 nt (minimum), 1911380 nt (maximum)
ORI10010028	NC_002939.1	Geobacter sulfurreducens PCA	Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter.	3814139 nt	3813333..29 nt	3	30..1367, 1166019..1166795 nt	7871 nt (minimum), 1911380 nt (maximum)
ORI10010029	NC_002947.1	Pseudomonas putida KT2440	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	6181863 nt	8947..9541 nt	8	9542..11062 nt	464 nt (minimum), 3730087 nt (maximum)
ORI10010030	NC_002951.1	Staphylococcus aureus subsp. aureus COL	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2809422 nt	1906..2182 nt	4	544..1905 nt	297 nt (minimum), 1448643 nt (maximum)
ORI10010031	NC_002951.1	Staphylococcus aureus subsp. aureus COL	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2809422 nt	2809236..543 nt	9	544..1905 nt	297 nt (minimum), 1448643 nt (maximum)
ORI10010032	NC_002952.1	Staphylococcus aureus subsp. aureus MRSA252	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2902619 nt	1879..2155 nt	4	517..1878 nt	2902613 nt (minimum), 1472005 nt (maximum)
ORI10010033	NC_002952.1	Staphylococcus aureus subsp. aureus MRSA252	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2902619 nt	2902406..516 nt	9	517..1878 nt	2902613 nt (minimum), 1472005 nt (maximum)
ORI10010034	NC_002953.1	Staphylococcus aureus subsp. aureus MSSA476	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2799802 nt	1879..2155 nt	4	517..1878 nt	270 nt (minimum), 1438085 nt (maximum)
ORI10010035	NC_002953.1	Staphylococcus aureus subsp. aureus MSSA476	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2799802 nt	2799589..516 nt	9	517..1878 nt	270 nt (minimum), 1438085 nt (maximum)
ORI10010036	NC_002973.1	Listeria monocytogenes str. 4b F2365	Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria.	2905187 nt	1675..1867 nt	5	319..1674 nt	2905079 nt (minimum), 1423383 nt (maximum)
ORI10010037	NC_002973.1	Listeria monocytogenes str. 4b F2365	Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria.	2905187 nt	2905001..318 nt	11	319..1674 nt	2905079 nt (minimum), 1423383 nt (maximum)
ORI10010038	NC_002976.1	Staphylococcus epidermidis RP62A	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2616530 nt	2614667..2614975 nt	4	2614976..2616331 nt	2614108 nt (minimum), 1048723 nt (maximum)
ORI10010039	NC_002976.1	Staphylococcus epidermidis RP62A	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2616530 nt	2616332..539 nt	9	2614976..2616331 nt	2614108 nt (minimum), 1048723 nt (maximum)
ORI10010040	NC_003028.1	Streptococcus pneumoniae TIGR4	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2160837 nt	1559..1716 nt	3	197..1558 nt	2510 nt (minimum), 1093985 nt (maximum)
ORI10010041	NC_003028.1	Streptococcus pneumoniae TIGR4	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2160837 nt	2160822..196 nt	5	197..1558 nt	2510 nt (minimum), 1093985 nt (maximum)
ORI10010042	NC_003030.1	Clostridium acetobutylicum ATCC 824	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	3940880 nt	1808..2063 nt	5	467..1807 nt	128 nt (minimum), 1982548 nt (maximum)
ORI10010043	NC_003030.1	Clostridium acetobutylicum ATCC 824	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	3940880 nt	3940782..466 nt	8	467..1807 nt	128 nt (minimum), 1982548 nt (maximum)
ORI10010044	NC_003098.1	Streptococcus pneumoniae R6	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2038615 nt	1363..1520 nt	3	1..1362 nt	2314 nt (minimum), 1039957 nt (maximum)
ORI10010045	NC_003098.1	Streptococcus pneumoniae R6	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2038615 nt	2038404..2038615 nt	5	1..1362 nt	2314 nt (minimum), 1039957 nt (maximum)
ORI10010046	NC_003155.1	Streptomyces avermitilis MA-4680	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces.	9025608 nt	5287934..5289023 nt	3	3685159..3685857, 5285972..5287933 nt	1292877 nt (minimum), 7192660 nt (maximum)
ORI10010047	NC_003210.1	Listeria monocytogenes EGD-e	Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria.	2944528 nt	1674..1866 nt	5	318..1673 nt	2944494 nt (minimum), 1443681 nt (maximum)
ORI10010048	NC_003210.1	Listeria monocytogenes EGD-e	Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria.	2944528 nt	2944342..317 nt	12	318..1673 nt	2944494 nt (minimum), 1443681 nt (maximum)
ORI10010049	NC_003212.1	Listeria innocua Clip11262	Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria.	3011208 nt	1675..1867 nt	5	319..1674 nt	3011100 nt (minimum), 1449336 nt (maximum)
ORI10010050	NC_003212.1	Listeria innocua Clip11262	Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria.	3011208 nt	3011021..318 nt	11	319..1674 nt	3011100 nt (minimum), 1449336 nt (maximum)
ORI10010051	NC_003272.1	Nostoc sp. PCC 7120	Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Nostoc.	6413771 nt	2404398..2404811 nt	6	2403018..2404397 nt	591397 nt (minimum), 4781342 nt (maximum)
ORI10010052	NC_003295.1	Ralstonia solanacearum GMI1000	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia.	3716413 nt	3716277..485 nt	3	3714708..3716276 nt	4314 nt (minimum), 2015178 nt (maximum)
ORI10010053	NC_003366.1	Clostridium perfringens str. 13	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	3031430 nt	1784..2077 nt	6	410..1783 nt	3031426 nt (minimum), 1361223 nt (maximum)
ORI10010054	NC_003366.1	Clostridium perfringens str. 13	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	3031430 nt	3030810..409 nt	13	410..1783 nt	3031426 nt (minimum), 1361223 nt (maximum)
ORI10010055	NC_003450.1	Corynebacterium glutamicum ATCC 13032	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	3309401 nt	1576..2291 nt	8	1..1575 nt	3306188 nt (minimum), 1563137 nt (maximum)
ORI10010056	NC_003450.1	Corynebacterium glutamicum ATCC 13032	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	3309401 nt	3308554..3309401 nt	6	1..1575 nt	3306188 nt (minimum), 1563137 nt (maximum)
ORI10010057	NC_003485.1	Streptococcus pyogenes MGAS8232	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1895017 nt	1558..1708 nt	3	202..1557 nt	2790 nt (minimum), 954760 nt (maximum)
ORI10010058	NC_003485.1	Streptococcus pyogenes MGAS8232	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1895017 nt	1895017..201 nt	6	202..1557 nt	2790 nt (minimum), 954760 nt (maximum)
ORI10010059	NC_003869.1	Thermoanaerobacter tengcongensis MB4	Bacteria, Firmicutes, Clostridia, Thermoanaerobacteriales, Thermoanaerobacteriaceae, Thermoanaerobacter.	2689445 nt	1697..1933 nt	3	365..1696 nt	2689369 nt (minimum), 1346207 nt (maximum)
ORI10010060	NC_003869.1	Thermoanaerobacter tengcongensis MB4	Bacteria, Firmicutes, Clostridia, Thermoanaerobacteriales, Thermoanaerobacteriaceae, Thermoanaerobacter.	2689445 nt	2689326..364 nt	12	365..1696 nt	2689369 nt (minimum), 1346207 nt (maximum)
ORI10010061	NC_003888.1	Streptomyces coelicolor A3(2)	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces.	8667507 nt	4269844..4270777 nt	6	3604104..3605504, 4270778..4272748, 4390122..4390649 nt	374138 nt (minimum), 4785280 nt (maximum)
ORI10010062	NC_003909.1	Bacillus cereus ATCC 10987	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5224283 nt	1749..1926 nt	4	408..1748 nt	1912 nt (minimum), 2589273 nt (maximum)
ORI10010063	NC_003909.1	Bacillus cereus ATCC 10987	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5224283 nt	5224126..407 nt	9	408..1748 nt	1912 nt (minimum), 2589273 nt (maximum)
ORI10010064	NC_003912.1	Campylobacter jejuni RM1221	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter.	1777831 nt	1324..1482 nt	3	1..1323 nt	1777089 nt (minimum), 892589 nt (maximum)
ORI10010065	NC_003923.1	Staphylococcus aureus subsp. aureus MW2	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2820462 nt	1879..2155 nt	4	517..1878, 140106..140591 nt	270 nt (minimum), 1409531 nt (maximum)
ORI10010066	NC_003923.1	Staphylococcus aureus subsp. aureus MW2	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2820462 nt	2820249..516 nt	9	517..1878, 140106..140591 nt	270 nt (minimum), 1409531 nt (maximum)
ORI10010067	NC_003997.1	Bacillus anthracis str. Ames	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5227293 nt	1748..1925 nt	4	407..1747 nt	5227283 nt (minimum), 2506545 nt (maximum)
ORI10010068	NC_003997.1	Bacillus anthracis str. Ames	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5227293 nt	5227136..406 nt	9	407..1747 nt	5227283 nt (minimum), 2506545 nt (maximum)
ORI10010069	NC_004070.1	Streptococcus pyogenes MGAS315	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1900521 nt	1588..1741 nt	3	232..1587 nt	1898698 nt (minimum), 890656 nt (maximum)
ORI10010070	NC_004070.1	Streptococcus pyogenes MGAS315	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1900521 nt	1900521..231 nt	7	232..1587 nt	1898698 nt (minimum), 890656 nt (maximum)
ORI10010071	NC_004116.1	Streptococcus agalactiae 2603V/R	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2160267 nt	1464..1617 nt	3	102..1463 nt	2157978 nt (minimum), 990220 nt (maximum)
ORI10010072	NC_004116.1	Streptococcus agalactiae 2603V/R	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2160267 nt	2160171..101 nt	4	102..1463 nt	2157978 nt (minimum), 990220 nt (maximum)
ORI10010073	NC_004129.1	Pseudomonas fluorescens Pf-5	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	7074893 nt	7074428..100 nt	6	101..1642, 5145826..5146530 nt	7044992 nt (minimum), 3477508 nt (maximum)
ORI10010074	NC_004193.1	Oceanobacillus iheyensis HTE831	Bacteria, Firmicutes, Bacillales, Bacillaceae, Oceanobacillus.	3630528 nt	1644..1829 nt	3	300..1643 nt	3630293 nt (minimum), 1785979 nt (maximum)
ORI10010075	NC_004193.1	Oceanobacillus iheyensis HTE831	Bacteria, Firmicutes, Bacillales, Bacillaceae, Oceanobacillus.	3630528 nt	3630058..299 nt	9	300..1643 nt	3630293 nt (minimum), 1785979 nt (maximum)
ORI10010076	NC_004307.1	Bifidobacterium longum NCC2705	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2256640 nt	1625766..1626083 nt	3	1624263..1625765 nt	1652684 nt (minimum), 529276 nt (maximum)
ORI10010077	NC_004342.1	Leptospira interrogans serovar Lai str. 56601 chromosome I	Bacteria, Spirochaetes, Spirochaetales, Leptospiraceae, Leptospira.	4332241 nt	1566..3220 nt	7	234..1565 nt	1 nt (minimum), 2168133 nt (maximum)
ORI10010078	NC_004347.1	Shewanella oneidensis MR-1	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella.	4969803 nt	6419..6872 nt	3	6873..8255 nt	144 nt (minimum), 2483234 nt (maximum)
ORI10010079	NC_004350.1	Streptococcus mutans UA159	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2030921 nt	1553..1707 nt	3	194..1552 nt	2028698 nt (minimum), 983166 nt (maximum)
ORI10010080	NC_004350.1	Streptococcus mutans UA159	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2030921 nt	2030914..193 nt	4	194..1552 nt	2028698 nt (minimum), 983166 nt (maximum)
ORI10010081	NC_004368.1	Streptococcus agalactiae NEM316	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2211485 nt	1538..1691 nt	3	176..1537 nt	2209270 nt (minimum), 1013213 nt (maximum)
ORI10010082	NC_004368.1	Streptococcus agalactiae NEM316	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2211485 nt	2211463..175 nt	4	176..1537 nt	2209270 nt (minimum), 1013213 nt (maximum)
ORI10010083	NC_004369.1	Corynebacterium efficiens YS-314	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	3147090 nt	1723..2288 nt	7	1..1722 nt	88195 nt (minimum), 1851420 nt (maximum)
ORI10010084	NC_004461.1	Staphylococcus epidermidis ATCC 12228	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2499279 nt	1718..2025 nt	4	362..1717, 1552872..1553321 nt	2499267 nt (minimum), 1095946 nt (maximum)
ORI10010085	NC_004461.1	Staphylococcus epidermidis ATCC 12228	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2499279 nt	2498918..361 nt	9	362..1717, 1552872..1553321 nt	2499267 nt (minimum), 1095946 nt (maximum)
ORI10010086	NC_004551.1	Tropheryma whipplei TW08/27	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Cellulomonadaceae, Tropheryma.	925938 nt	1438..1766 nt	4	1..1437 nt	8450 nt (minimum), 484209 nt (maximum)
ORI10010087	NC_004556.1	Xylella fastidiosa Temecula1	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xylella.	2519802 nt	1466..1746 nt	3	146..1465 nt	571 nt (minimum), 1195445 nt (maximum)
ORI10010088	NC_004557.1	Clostridium tetani E88	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	2799251 nt	50965..51224 nt	3	51225..52253 nt	2799205 nt (minimum), 1395339 nt (maximum)
ORI10010089	NC_004557.1	Clostridium tetani E88	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	2799251 nt	52254..53835 nt	5	51225..52253 nt	2799205 nt (minimum), 1395339 nt (maximum)
ORI10010090	NC_004567.1	Lactobacillus plantarum WCFS1	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	3308274 nt	1369..1545 nt	5	1..1368 nt	3307909 nt (minimum), 1648040 nt (maximum)
ORI10010091	NC_004567.1	Lactobacillus plantarum WCFS1	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	3308274 nt	3307775..3308274 nt	6	1..1368 nt	3307909 nt (minimum), 1648040 nt (maximum)
ORI10010092	NC_004572.1	Tropheryma whipplei str. Twist	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Cellulomonadaceae, Tropheryma.	927303 nt	1438..1766 nt	4	1..1437 nt	926989 nt (minimum), 409122 nt (maximum)
ORI10010093	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	6397126 nt	6396882..338 nt	4	339..1874 nt	6394277 nt (minimum), 3191331 nt (maximum)
ORI10010094	NC_004606.1	Streptococcus pyogenes SSI-1	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1894275 nt	1588..1741 nt	3	232..1587 nt	2823 nt (minimum), 1021176 nt (maximum)
ORI10010095	NC_004606.1	Streptococcus pyogenes SSI-1	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1894275 nt	1894275..231 nt	7	232..1587 nt	2823 nt (minimum), 1021176 nt (maximum)
ORI10010096	NC_004668.1	Enterococcus faecalis V583	Bacteria, Firmicutes, Lactobacillales, Enterococcaceae, Enterococcus.	3218031 nt	1403..1603 nt	5	59..1402 nt	3217971 nt (minimum), 1550939 nt (maximum)
ORI10010097	NC_004668.1	Enterococcus faecalis V583	Bacteria, Firmicutes, Lactobacillales, Enterococcaceae, Enterococcus.	3218031 nt	3217568..58 nt	9	59..1402 nt	3217971 nt (minimum), 1550939 nt (maximum)
ORI10010098	NC_004722.1	Bacillus cereus ATCC 14579	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5411809 nt	1622..1799 nt	4	281..1621 nt	1785 nt (minimum), 2680943 nt (maximum)
ORI10010099	NC_004722.1	Bacillus cereus ATCC 14579	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5411809 nt	5411528..280 nt	9	281..1621 nt	1785 nt (minimum), 2680943 nt (maximum)
ORI10010100	NC_004757.1	Nitrosomonas europaea ATCC 19718	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Nitrosomonadaceae, Nitrosomonas.	2812094 nt	1591..1790 nt	3	211..1590 nt	2808924 nt (minimum), 965209 nt (maximum)
ORI10010101	NC_005090.1	Wolinella succinogenes DSM 1740	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Wolinella.	2110355 nt	2110228..2110355 nt	4	1..1314 nt	2857 nt (minimum), 1188326 nt (maximum)
ORI10010102	NC_005362.1	Lactobacillus johnsonii NCC 533	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1992676 nt	1992003..1992676 nt	8	1..1365 nt	2660 nt (minimum), 1100355 nt (maximum)
ORI10010103	NC_005364.1	Mycoplasma mycoides subsp. mycoides SC str. PG1	Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	1211703 nt	1211535..87 nt*	3	88..1440 nt*	1074290 nt (minimum), 598086 nt (maximum)
ORI10010104	NC_005773.1	Pseudomonas syringae pv. phaseolicola 1448A	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	5928787 nt	5928612..237 nt	4	238..1773 nt	123439 nt (minimum), 3240986 nt (maximum)
ORI10010105	NC_005823.1	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 chromosome I	Bacteria, Spirochaetes, Spirochaetales, Leptospiraceae, Leptospira.	4277185 nt	1624..3278 nt	7	292..1623 nt	4275559 nt (minimum), 2114327 nt (maximum)
ORI10010106	NC_005835.1	Thermus thermophilus HB27	Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus.	1894877 nt	1524341..1524641 nt	12	1523000..1524340 nt	1525257 nt (minimum), 599522 nt (maximum)
ORI10010107	NC_005945.1	Bacillus anthracis str. Sterne	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5228663 nt	1749..1926 nt	4	408..1748 nt	5228654 nt (minimum), 2506598 nt (maximum)
ORI10010108	NC_005945.1	Bacillus anthracis str. Sterne	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5228663 nt	5228507..407 nt	9	408..1748 nt	5228654 nt (minimum), 2506598 nt (maximum)
ORI10010109	NC_005957.1	Bacillus thuringiensis serovar konkukian str. 97-27	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5237682 nt	1750..1927 nt	4	409..1749 nt	5237673 nt (minimum), 2559179 nt (maximum)
ORI10010110	NC_005957.1	Bacillus thuringiensis serovar konkukian str. 97-27	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5237682 nt	5237315..408 nt	9	409..1749 nt	5237673 nt (minimum), 2559179 nt (maximum)
